Entry	Entry name	Protein names	Length	Organism	Proteomes	Protein families	DNA binding	Metal binding	Pathway	pH dependence	Temperature dependence	Features	Subcellular location [CC]	Intramembrane	Topological domain	Transmembrane
P0CX54	RL12B_YEAST	60S ribosomal protein L12-B (L15) (Large ribosomal subunit protein uL11-B) (YL23)	165	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Universal ribosomal protein uL11 family						Chain (1); Cross-link (2); Initiator methionine (1); Modified residue (6); Mutagenesis (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.			
P40212	RL13B_YEAST	60S ribosomal protein L13-B (Large ribosomal subunit protein eL13-B)	199	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	Eukaryotic ribosomal protein eL13 family						Chain (1); Modified residue (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.			
P02406	RL28_YEAST	60S ribosomal protein L28 (L27a) (L29) (Large ribosomal subunit protein uL15) (RP44) (RP62) (YL24)	149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Universal ribosomal protein uL15 family						Beta strand (8); Chain (1); Cross-link (1); Helix (7); Initiator methionine (1); Motif (2); Natural variant (1); Turn (5)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.			
P0CX41	RL23A_YEAST	60S ribosomal protein L23-A (L17a) (Large ribosomal subunit protein uL14-A) (YL32)	137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Universal ribosomal protein uL14 family						Beta strand (11); Chain (1); Helix (3); Initiator methionine (1); Modified residue (3); Turn (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.			
P04456	RL25_YEAST	60S ribosomal protein L25 (Large ribosomal subunit protein uL23) (RP16L) (YL25) (YP42')	142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	Universal ribosomal protein uL23 family						Beta strand (6); Chain (1); Cross-link (1); Helix (4); Initiator methionine (1); Sequence conflict (1); Turn (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}.			
P26321	RL5_YEAST	60S ribosomal protein L5 (L1) (L1a) (Large ribosomal subunit protein uL18) (Ribosomal 5S RNA-binding protein) (YL3)	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Universal ribosomal protein uL18 family						Beta strand (10); Chain (1); Cross-link (1); Helix (16); Initiator methionine (1); Modified residue (3); Sequence conflict (3); Turn (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22096102}. Nucleus {ECO:0000269|PubMed:23118189}. Note=The SYO1-uL5-uL18 complex is transported into the nucleus by KAP104. {ECO:0000269|PubMed:23118189}.			
Q12377	RPN6_YEAST	26S proteasome regulatory subunit RPN6 (Proteasome non-ATPase subunit 4)	434	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Proteasome subunit S9 family						Beta strand (4); Chain (1); Domain (1); Helix (21); Initiator methionine (1); Modified residue (1); Mutagenesis (2); Turn (6)				
P13433	RPOM_YEAST	DNA-directed RNA polymerase, mitochondrial (EC 2.7.7.6)	1351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VI	Phage and mitochondrial RNA polymerase family						Active site (3); Chain (1); Sequence conflict (2); Transit peptide (1)	SUBCELLULAR LOCATION: Mitochondrion.			
P32561	RPD3_YEAST	Histone deacetylase RPD3 (EC 3.5.1.98) (Transcriptional regulatory protein RPD3)	433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	Histone deacetylase family, HD type 1 subfamily						Active site (1); Chain (1); Modified residue (2); Motif (1); Mutagenesis (13); Region (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P52871	SC6B2_YEAST	Protein transport protein SBH2 (Ssh1 complex subunit SBH2) (Ssh1 complex subunit beta)	88	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	SEC61-beta family						Chain (1); Topological domain (1); Transmembrane (1)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein.		TOPO_DOM 1..61;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 62..82;  /note="Helical";  /evidence="ECO:0000255"
P39743	RV167_YEAST	Reduced viability upon starvation protein 167	482	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV							Chain (1); Coiled coil (2); Compositional bias (1); Cross-link (2); Domain (2); Initiator methionine (1); Modified residue (4)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.			
Q12136	SAS10_YEAST	Something about silencing protein 10 (U three protein 3) (U3 small nucleolar RNA-associated protein 3) (U3 snoRNA-associated protein 11)	610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	SAS10 family						Chain (1); Compositional bias (3); Erroneous initiation (1); Modified residue (6)	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12068309, ECO:0000269|PubMed:9611201}.			
P34218	SAS3_YEAST	Histone acetyltransferase SAS3 (EC 2.3.1.48) (Something about silencing protein 3)	831	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	MYST (SAS/MOZ) family						Active site (1); Binding site (1); Chain (1); Compositional bias (1); Domain (1); Modified residue (1); Mutagenesis (7); Region (2); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
P32608	RTG2_YEAST	Retrograde regulation protein 2	588	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	GppA/Ppx family						Chain (1)				
Q04003	SAS4_YEAST	Something about silencing protein 4	481	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV							Chain (1); Coiled coil (2)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11731480}.			
P36124	SET3_YEAST	SET domain-containing protein 3	751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	SET3 family						Beta strand (2); Chain (1); Domain (1); Helix (3); Modified residue (5); Turn (2); Zinc finger (1)				
P33303	SFC1_YEAST	Succinate/fumarate mitochondrial transporter (Regulator of acetyl-CoA synthase activity)	322	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	Mitochondrial carrier (TC 2.A.29) family						Chain (1); Repeat (3); Sequence conflict (1); Transmembrane (6)	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.			TRANSMEM 11..31;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 68..88;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 114..134;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 177..193;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 219..235;  /note="Helical; Name=5";  /evidence="ECO:0000255"; TRANSMEM 278..295;  /note="Helical; Name=6";  /evidence="ECO:0000255"
P53953	SFB2_YEAST	SED5-binding protein 2 (SEC24-related protein 2)	876	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	SEC23/SEC24 family, SEC24 subfamily						Chain (1); Compositional bias (1); Modified residue (1); Region (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}.			
P36169	SKG1_YEAST	Suppressor of lethality of KEX2 GAS1 double null mutant protein 1	355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	SKG1 family						Chain (1); Frameshift (1); Modified residue (2); Topological domain (2); Transmembrane (1)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type III membrane protein; Cytoplasmic side. Bud membrane; Single-pass type III membrane protein; Cytoplasmic side. Note=Localizes on the inner surface of the plasma membrane at the bud and in the daughter cell. Localizes at an incipient bud site in the cells with emerging buds, a bud tip in small- or medium-budded cells, and a cell periphery in large-budded cells.		TOPO_DOM 1..8;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 30..355;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 9..29;  /note="Helical; Signal-anchor for type III membrane protein";  /evidence="ECO:0000255"
Q04491	SEC13_YEAST	Protein transport protein SEC13	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	WD repeat SEC13 family						Beta strand (34); Chain (1); Helix (2); Mutagenesis (4); Repeat (6); Turn (2)	SUBCELLULAR LOCATION: Cytoplasmic vesicle, COPII-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side. Nucleus, nuclear pore complex {ECO:0000269|PubMed:10684247}. Vacuole membrane; Peripheral membrane protein.			
Q01590	SED5_YEAST	Integral membrane protein SED5	340	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	Syntaxin family						Chain (1); Coiled coil (1); Domain (1); Helix (2); Mutagenesis (1); Topological domain (1); Transmembrane (1)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}.		TOPO_DOM 1..319;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 320..340;  /note="Helical; Anchor for type IV membrane protein";  /evidence="ECO:0000255"
P53012	SCS3_YEAST	FIT family protein SCS3	380	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	FIT family						Chain (1); Sequence conflict (1); Topological domain (7); Transmembrane (6)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:26504167}; Multi-pass membrane protein {ECO:0000255}.		TOPO_DOM 1..7;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 29..43;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 65..88;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 110..233;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 255..325;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 347..356;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 378..380;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 8..28;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 44..64;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 89..109;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 234..254;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 326..346;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 357..377;  /note="Helical";  /evidence="ECO:0000255"
P32342	SRP21_YEAST	Signal recognition particle subunit SRP21 (Signal recognition particle 21 kDa protein)	167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI							Chain (1); Compositional bias (1); Initiator methionine (1); Modified residue (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000269|PubMed:11352936}.			
Q08457	SLD7_YEAST	Mitochondrial morphogenesis protein SLD7 (Synthetic lethality with DPB11-24 mutation protein 7)	257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	SLD7 family						Chain (1); Helix (4)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:14562095}.			
P36150	SUMT_YEAST	Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM)	593	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	Precorrin methyltransferase family						Chain (1)				
Q03088	SVL3_YEAST	Styryl dye vacuolar localization protein 3	825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	PAM1/SVL3 family						Chain (1); Coiled coil (1); Compositional bias (1); Modified residue (7)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Bud {ECO:0000269|PubMed:14562095}. Bud neck {ECO:0000269|PubMed:14562095}. Cytoplasm, cell cortex {ECO:0000269|PubMed:14562095}. Note=And found in the cell periphery.			
Q12379	SWM1_YEAST	Anaphase-promoting complex subunit SWM1 (Anaphase-promoting complex subunit 13) (Spore wall maturation protein 1)	170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	APC13 family			PATHWAY: Protein modification; protein ubiquitination.			Chain (1); Compositional bias (1)				
P38860	MTG2_YEAST	GTPase MTG2, mitochondrial (Mitochondrial GTPase 2)	518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family						Chain (1); Domain (2); Frameshift (1); Nucleotide binding (3); Transit peptide (1)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:15591131}; Peripheral membrane protein {ECO:0000269|PubMed:15591131}; Matrix side {ECO:0000269|PubMed:15591131}.			
Q03435	NHP10_YEAST	Non-histone protein 10 (High mobility group protein 2)	203	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV		DNA_BIND 94..158;  /note="HMG box";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00267"					Chain (1); DNA binding (1); Initiator methionine (1); Modified residue (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:14562095}.			
P40165	NNRE_YEAST	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase) (Nicotinamide nucleotide repair protein 1)	246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	NnrE/AIBP family		METAL 70;  /note="Potassium";  /evidence="ECO:0000255|HAMAP-Rule:MF_03159"; METAL 138;  /note="Potassium";  /evidence="ECO:0000255|HAMAP-Rule:MF_03159"; METAL 176;  /note="Potassium";  /evidence="ECO:0000255|HAMAP-Rule:MF_03159"				Beta strand (8); Binding site (1); Chain (1); Domain (1); Helix (9); Metal binding (3); Region (2); Turn (5)	SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion.			
P40012	PPOX_YEAST	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)	539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	Protoporphyrinogen/coproporphyrinogen oxidase family, Protoporphyrinogen oxidase subfamily			PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; protoporphyrin-IX from protoporphyrinogen-IX: step 1/1.	BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.2.;		Binding site (2); Chain (1); Mutagenesis (2); Nucleotide binding (4)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:7798202}. Note=Bound to the mitochondrial inner membrane with its active site facing the cytosolic side.			
Q12036	PPT2_YEAST	Mitochondrial holo-[acyl-carrier-protein] synthase (Mitochondrial holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase PPT2) (PPTase)	173	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	P-Pant transferase superfamily, AcpS family						Chain (1); Erroneous initiation (4)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:16823961}.			
P53043	PPT1_YEAST	Serine/threonine-protein phosphatase T (PPT) (EC 3.1.3.16)	513	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	PPP phosphatase family, PP-5 (PP-T) subfamily		METAL 249;  /note="Manganese 1";  /evidence="ECO:0000250"; METAL 251;  /note="Manganese 1";  /evidence="ECO:0000250"; METAL 278;  /note="Manganese 1";  /evidence="ECO:0000250"; METAL 278;  /note="Manganese 2";  /evidence="ECO:0000250"; METAL 310;  /note="Manganese 2";  /evidence="ECO:0000250"; METAL 359;  /note="Manganese 2";  /evidence="ECO:0000250"; METAL 434;  /note="Manganese 2";  /evidence="ECO:0000250"		BIOPHYSICOCHEMICAL PROPERTIES:  pH dependence: Optimum pH is 7.8. {ECO:0000269|PubMed:16442612};		Active site (1); Beta strand (16); Chain (1); Frameshift (1); Helix (13); Metal binding (7); Mutagenesis (1); Region (1); Repeat (3); Turn (4)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12694636, ECO:0000269|PubMed:14562095}.			
P36069	PMU1_YEAST	Probable phosphoglycerate mutase PMU1 (EC 5.4.-.-) (Phosphomutase homolog 1)	295	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XI	Phosphoglycerate mutase family						Active site (2); Chain (1); Sequence conflict (1); Site (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P39551	PRM9_YEAST	Pheromone-regulated membrane protein 9 (DUP240 protein PRM9)	298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome I	DUP/COS family						Chain (1); Region (1); Topological domain (3); Transmembrane (2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12101299}; Multi-pass membrane protein {ECO:0000269|PubMed:12101299}.		TOPO_DOM 1..111;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 133..137;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 159..298;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 112..132;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 138..158;  /note="Helical";  /evidence="ECO:0000255"
P53691	PPID_YEAST	Peptidyl-prolyl cis-trans isomerase CPR6 (PPIase CPR6) (EC 5.2.1.8) (Rotamase CPR6)	371	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	Cyclophilin-type PPIase family, PPIase D subfamily						Chain (1); Domain (1); Repeat (3); Sequence conflict (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.			
P48567	PUS4_YEAST	tRNA pseudouridine synthase 4 (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase 4) (tRNA-uridine isomerase 4)	403	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	Pseudouridine synthase TruB family						Active site (1); Chain (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9358157}. Mitochondrion {ECO:0000269|PubMed:9358157}.			
Q12211	PUS1_YEAST	tRNA pseudouridine synthase 1 (EC 5.4.99.-) (tRNA pseudouridylate synthase 1) (tRNA-uridine isomerase 1)	544	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	TRNA pseudouridine synthase TruA family						Active site (1); Binding site (1); Chain (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11502169}.			
Q08273	RBX1_YEAST	RING-box protein HRT1 (RING-box protein 1) (E3 ubiquitin-protein ligase complex SCF subunit HRT1) (High level expression reduces Ty3 transposition protein 1) (Regulator of cullins protein 1)	121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	RING-box family		METAL 55;  /note="Zinc 1";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 58;  /note="Zinc 1";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 66;  /note="Zinc 2";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 69;  /note="Zinc 2";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 81;  /note="Zinc 2";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 88;  /note="Zinc 3";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 90;  /note="Zinc 3; via pros nitrogen";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 93;  /note="Zinc 1; via pros nitrogen";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 95;  /note="Zinc 2";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 107;  /note="Zinc 3";  /evidence="ECO:0000250|UniProtKB:P62878"; METAL 110;  /note="Zinc 3";  /evidence="ECO:0000250|UniProtKB:P62878"	PATHWAY: Protein modification; protein ubiquitination.			Chain (1); Metal binding (11); Modified residue (1); Mutagenesis (3); Zinc finger (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10880467}. Nucleus {ECO:0000269|PubMed:10880467}.			
Q03713	RCF1_YEAST	Respiratory supercomplex factor 1, mitochondrial (Altered inheritance of mitochondria protein 31)	159	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	AIM31 family						Beta strand (1); Chain (1); Coiled coil (1); Domain (1); Helix (8); Topological domain (6); Transmembrane (5)	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000255|PROSITE-ProRule:PRU00836, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00836, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.		TOPO_DOM 1..13;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000305|PubMed:29507228"; TOPO_DOM 31..35;  /note="Mitochondrial matrix";  /evidence="ECO:0000305|PubMed:29507228"; TOPO_DOM 58..63;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000305|PubMed:29507228"; TOPO_DOM 86..88;  /note="Mitochondrial matrix";  /evidence="ECO:0000305|PubMed:29507228"; TOPO_DOM 107..133;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000305|PubMed:29507228"; TOPO_DOM 157..159;  /note="Mitochondrial matrix";  /evidence="ECO:0000305|PubMed:29507228"	TRANSMEM 14..30;  /note="Helical; Name=1";  /evidence="ECO:0000269|PubMed:29507228"; TRANSMEM 36..57;  /note="Helical; Name=2";  /evidence="ECO:0000269|PubMed:29507228"; TRANSMEM 64..85;  /note="Helical; Name=3";  /evidence="ECO:0000269|PubMed:29507228"; TRANSMEM 89..106;  /note="Helical; Name=4";  /evidence="ECO:0000269|PubMed:29507228"; TRANSMEM 134..156;  /note="Helical; Name=5";  /evidence="ECO:0000269|PubMed:29507228"
Q12465	RAX2_YEAST	Bud site selection protein RAX2 (Revert to axial protein 2)	1220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII							Chain (1); Compositional bias (1); Glycosylation (52); Signal peptide (1); Topological domain (2); Transmembrane (1)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Bud neck. Bud tip. Note=Before cytokinesis, RAX2 concentrates as a ring at the mother-bud neck and to the tip of the bud. The RAX2 ring splits at cytokinesis, endowing each progeny cell with a RAX2 ring and additional RAX2 localization at the distal bud pole of the newborn daughter cell. The rings persist at the cell cortex for several generations, giving rise to cells decorated by multiple rings.		TOPO_DOM 21..1162;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 1184..1220;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 1163..1183;  /note="Helical";  /evidence="ECO:0000255"
P0CX86	RL41A_YEAST	60S ribosomal protein L41-A (L47) (Large ribosomal subunit protein eL41-A) (YL41)	25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	Eukaryotic ribosomal protein eL41 family						Chain (1); Compositional bias (1); Helix (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.			
Q12495	RLF2_YEAST	Chromatin assembly factor 1 subunit p90 (CAF-1 90 kDa subunit) (RAP1 localization factor 2)	606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	RLF2 family						Beta strand (3); Chain (1); Coiled coil (1); Compositional bias (5); Helix (4); Modified residue (3)	SUBCELLULAR LOCATION: Nucleus.			
P22276	RPC2_YEAST	DNA-directed RNA polymerase III subunit RPC2 (RNA polymerase III subunit C2) (EC 2.7.7.6) (C128) (DNA-directed RNA polymerase III 130 kDa polypeptide)	1149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	RNA polymerase beta chain family		METAL 1095;  /note="Zinc";  /evidence="ECO:0000250"; METAL 1098;  /note="Zinc";  /evidence="ECO:0000250"; METAL 1107;  /note="Zinc";  /evidence="ECO:0000250"; METAL 1110;  /note="Zinc";  /evidence="ECO:0000250"				Beta strand (67); Chain (1); Helix (31); Metal binding (4); Sequence conflict (1); Turn (27); Zinc finger (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
P40018	RSMB_YEAST	Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (Sm protein B) (Sm-B) (SmB)	196	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	SnRNP SmB/SmN family						Beta strand (5); Chain (1); Helix (2); Motif (1); Turn (3)	SUBCELLULAR LOCATION: Nucleus.			
P38255	RXT2_YEAST	Transcriptional regulatory protein RXT2	430	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	RXT2 family						Chain (1); Erroneous initiation (4)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14562095}.			
